residue_ID   parent_id
OE1   O152
OE2   O152
OE3   O152
OE4   O152
OE5   O152
OE6   O152
OE7   O152
OE8   O152
OE9   OC
OE10   O152
OE11   O152
OE12   O152
OE13   O156
OE14   O157
OE15   O152
OE16   O152
OE17   O152
OE18   O156
OE19   O152
OE20   O152
OE21   OC
OE22   O157
OE23   OC
OE24   O157
OE25   O156
OE26   OC
OE27   OC
OE28   OE2
OE29   O153
OE30   OE13
OE31   O158
OE32   O157
OE33   O158
OE34   OE18
OE35   OC
OE36   O152
OE37   O156
OE38   OE26
OE39   O156
OE40   OE18
OE41   O153
OE42   OE14
OE43   OE38
OE44   OE13
OE45   OE12
OE46   O153
OE47   OE15
OE48   O156
OE49   OE36
OE50   OE9
OE51   OE13
OE52   OE18
OE53   O168
OE54   OE13
OE55   O157
OE56   O158
OE57   OE36
OE58   OE18
OE59   OE13
OE60   OE18
OE61   OE13
OE62   O158
OE63   O163
OE64   OE14
OE65   O153
OE66   O152
OE67   OE9
OE68   OE18
OE69   O157
OE70   O158
OE71   OE13
OE72   O153
OE73   O157
OE74   OE18
OE75   O152
OE76   O152
OE77   OE13
OE78   OE13
OE79   OE3
OE80   OE1
OE81   OE14
OE82   O158
OE83   OE12
OE84   OE14
OE85   OE13
OE86   OE3
OE87   O158
OE88   O152
OE89   OE14
OE90   OE15
OE91   O162
OE92   O164
OE93   O158
OE94   OE14
OE95   OE5
OE96   OE1
OE97   O158
OE98   O158
OE99   O158
OE100   OE14
OE101   OE13
OE102   O156
OE103   OE6
OE104   O158
OE105   O152
OE106   O162
OE107   O158
OE108   O158
OE109   OE12
OE110   OE3
OE111   O152
OE112   OE48
OE113   OE48
OE114   O158
OE115   OE111
OE116   OE3
OE117   OE3
OE118   OE51
OE119   OE13
OE120   OE20
OE121   OE29
OE122   OE51
OE123   OE26
OE124   OE38
OE125   OE123
OE126   OE13
OE127   OE29
OE128   O157
OE129   OE36
OE130   OE51
OE131   OE3
OE132   OE33
OE133   OE41
OE134   OE29
OE135   OE3
OE136   OE135
OE137   OE56
OE138   OE56
OE139   OE56
OE140   OE24
OE141   OE24
OE142   OE104
OE143   OE93
OE144   OE93
OE145   OE56
OE146   OE29
OE147   OE29
OE148   OE119
OE149   OE119
OE150   O156
OE151   OE125
OE152   OE18
OE153   OE1
OE154   OE29
OE155   OE45
OE156   OE12
OE157   OE45
OE158   OE12
OE159   OE41
OE160   OE45
OE161   OE29
OE162   OE41
OE163   OE3
OE164   OE3
OE165   OE56
OE166   OE51
OE167   OE158
OE168   O158
OE169   OE168
OE170   OE45
OE171   OE29
OE172   O153
OE173   OE137
OE174   OE173
OE175   OE138
OE176   OE173
OE177   OE174
OE178   OE137
OE179   OE173
OE180   OE138
OE181   OE118
OE182   OE118
OE183   OE118
OE184   OE149
OE185   OE118
OE186   OE119
OE187   OE149
OE188   OE122
OE189   OE148
OE190   OE122
OE191   OE137
OE192   OE118
OE193   OE118
OE194   OE192
OE195   OE41
OE196   OE41
OE197   OE41
OE198   OE173
OE199   OE173
OE200   OE198
OE201   OE118
OE202   OE137
OE203   OE45
OE204   OE203
OE205   OE146
OE206   OE146
OE207   OE205
OE208   OE205
OE209   OE138
OE210   OE174
OE211   OE146
OE212   OE211
OE213   OE211
OE214   OE148
OE215   OE122
OE216   OE192
OE217   OE192
OE218   OE216
OE219   OE216
OE220   OE147
OE221   OE220
OE222   OE205
OE223   OE147
OE224   OE117
OE225   OE117
OE226   OE117
OE227   OE117
OE228   OE227
OE229   OE227
OE230   OE227
OE231   OE227
OE232   OE220
